Latex balloon actuator 60 mm,2017-11-16,MECH1A1
Time,Volume,Pressure
s,ml,mbar
14.31,1,22
17.01,2.01,280
19.71,3.01,547
22.41,4.02,742
25.1,5.02,847
27.8,6.02,870
30.5,7.03,832
33.19,8.03,775
35.89,9.04,732
38.59,10.04,702
41.29,11.04,680
43.99,12.05,660
46.69,13.05,642
49.38,14.06,627
52.08,15.06,615
54.78,16.06,605
57.47,17.07,597
60.17,18.07,590
62.87,19.08,587
65.57,20.08,585
68.26,21.08,580
70.96,22.09,580
73.66,23.09,582
76.36,24.1,585
79.06,25.1,587
81.75,26.1,592
84.45,27.11,597
87.15,28.11,602
89.84,29.12,610
92.54,30.12,615
95.24,31.12,625
97.94,32.13,632
100.64,33.13,642
103.33,34.14,655
106.03,35.14,667
108.73,36.14,680
111.42,37.15,695
114.12,38.15,710
116.82,39.16,727
119.52,40.16,745
122.22,41.16,765
203.32,41.6,767
204.58,42.6,775
207.28,43.61,786
209.97,44.61,798
212.67,45.62,810
215.37,46.62,827
218.07,47.62,852
220.76,48.63,882
225.82,49.63,910
228.56,50.64,932
238.38,51.64,962
243.61,52.64,990
243.7,53.65,1012
251.9,54.65,1040
254.65,55.66,1060
